adjective,category,created_at,id,modifier,name,price
fuzzy,contraption,1/15/2014 21:36,2512,carrying_case,fuzzy contraption carrying_case,150
,instrument,5/14/2013 5:20,482,refill,instrument refill,35.2
industrial-strength,module,2/4/2014 19:28,2446,,industrial-strength module,300
digital,tool,2/25/2013 12:23,1312,carrying_case,digital tool carrying_case,16.5
miniature,device,8/5/2013 17:20,3556,cleaner,miniature device cleaner,16.5
rechargable,contraption,9/12/2013 6:27,131,cleaner,rechargable contraption cleaner,195
,instrument,10/7/2013 9:38,1178,how-to-manual,instrument how-to-manual,0
prize-winning,mechanism,9/9/2013 9:32,110,storage_unit,prize-winning mechanism storage_unit,41.25
,mechanism,10/25/2013 22:53,47,,mechanism,15
organic,tool,5/10/2013 10:19,1696,,organic tool,37.5
fuzzy,module,4/19/2013 1:40,3196,refill,fuzzy module refill,80
fuzzy,device,5/20/2013 18:29,1578,refill,fuzzy device refill,40
reflective,widget,6/14/2013 3:32,0,charger,reflective widget charger,0.78
organic,tool,9/9/2013 11:36,107,how-to-manual,organic tool how-to-manual,0
,apparatus,3/15/2013 18:14,487,charger,apparatus charger,60
industrial-strength,gadget,3/17/2013 19:01,1777,refill,industrial-strength gadget refill,213.6
aerodynamic,mechanism,7/7/2013 12:28,1132,,aerodynamic mechanism,21
industrial-strength,apparatus,11/3/2013 1:04,3328,carrying_case,industrial-strength apparatus carrying_case,540
,mechanism,3/31/2013 8:15,3044,,mechanism,15
miniature,tool,3/13/2013 5:43,246,,miniature tool,13.75
prize-winning,gadget,10/29/2013 11:50,3480,wrapper,prize-winning gadget wrapper,39.16
,tool,1/2/2014 5:47,1975,refill,tool refill,20
,mechanism,6/25/2013 11:24,2722,,mechanism,15
reflective,mechanism,1/21/2014 7:14,1602,how-to-manual,reflective mechanism how-to-manual,0
analog,mechanism,6/19/2013 21:43,3141,,analog mechanism,13.5
extra-strength,mechanism,3/6/2013 20:29,1411,charger,extra-strength mechanism charger,6
rechargable,dongle,5/27/2013 23:38,3439,,rechargable dongle,39
organic,mechanism,10/5/2013 16:02,2134,,organic mechanism,22.5
matte,widget,3/16/2013 0:16,2389,how-to-manual,matte widget how-to-manual,0
analog,gadget,11/7/2013 2:18,226,carrying_case,analog gadget carrying_case,48.06
fuzzy,dongle,1/27/2014 9:19,2545,cleaner,fuzzy dongle cleaner,18
rechargable,dongle,3/16/2013 0:54,1732,how-to-manual,rechargable dongle how-to-manual,0
,mechanism,1/16/2014 2:42,3934,carrying_case,mechanism carrying_case,9
fuzzy,dongle,4/17/2013 3:12,504,warmer,fuzzy dongle warmer,33
extra-strength,apparatus,11/20/2013 20:29,23,charger,extra-strength apparatus charger,120
matte,contraption,9/2/2013 20:34,1730,,matte contraption,312.5
prize-winning,apparatus,12/23/2013 17:55,3290,cleaner,prize-winning apparatus cleaner,198
aerodynamic,widget,12/20/2013 14:22,2498,,aerodynamic widget,4.2
extra-strength,apparatus,10/17/2013 9:50,459,opener,extra-strength apparatus opener,300
matte,apparatus,5/7/2013 17:28,2309,how-to-manual,matte apparatus how-to-manual,0
fuzzy,module,8/26/2013 10:31,1074,refill,fuzzy module refill,80
aerodynamic,contraption,9/2/2013 23:22,1391,charger,aerodynamic contraption charger,70
digital,mechanism,7/15/2013 16:00,1403,,digital mechanism,16.5
digital,apparatus,7/5/2013 23:33,3460,,digital apparatus,330
matte,mechanism,10/10/2013 3:26,549,wrapper,matte mechanism wrapper,7.5
digital,widget,3/22/2013 10:55,1271,wrapper,digital widget wrapper,1.32
,widget,12/15/2013 16:19,2296,charger,widget charger,0.6
prize-winning,gadget,3/9/2013 6:13,862,storage_unit,prize-winning gadget storage_unit,244.75
prize-winning,instrument,10/28/2013 3:54,53,,prize-winning instrument,48.4
prize-winning,tool,4/25/2013 21:31,1872,,prize-winning tool,27.5
miniature,apparatus,7/15/2013 19:48,3134,cleaner,miniature apparatus cleaner,99
fuzzy,apparatus,2/23/2013 13:06,2993,,fuzzy apparatus,300
extra-strength,device,2/26/2013 20:46,1590,storage_unit,extra-strength device storage_unit,250
analog,apparatus,8/14/2013 0:14,3057,,analog apparatus,270
extra-strength,instrument,12/17/2013 9:39,1756,how-to-manual,extra-strength instrument how-to-manual,0
matte,instrument,11/18/2013 9:55,3119,,matte instrument,55
prize-winning,tool,11/15/2013 10:30,2393,,prize-winning tool,27.5
,widget,6/11/2013 11:03,212,opener,widget opener,1.5
glossy,mechanism,3/3/2013 18:19,735,carrying_case,glossy mechanism carrying_case,10.8
glossy,instrument,5/20/2013 23:58,3544,cleaner,glossy instrument cleaner,31.68
glossy,mechanism,3/21/2013 6:35,3990,,glossy mechanism,18
matte,gadget,1/30/2014 17:15,917,charger,matte gadget charger,22.25
extra-strength,device,7/15/2013 20:13,77,,extra-strength device,100
digital,device,1/2/2014 4:08,2213,warmer,digital device warmer,60.5
,dongle,5/25/2013 13:37,2493,,dongle,30
rechargable,contraption,9/16/2013 14:58,3070,wrapper,rechargable contraption wrapper,130
,instrument,7/23/2013 21:03,1569,,instrument,44
prize-winning,gadget,7/1/2013 14:17,1690,charger,prize-winning gadget charger,19.58
fuzzy,module,6/24/2013 7:31,3447,refill,fuzzy module refill,80
rechargable,gadget,12/22/2013 19:32,33,,rechargable gadget,115.7
fuzzy,apparatus,9/27/2013 22:12,1838,,fuzzy apparatus,300
fuzzy,gadget,6/1/2013 16:37,2152,wrapper,fuzzy gadget wrapper,35.6
aerodynamic,contraption,5/23/2013 17:08,204,cleaner,aerodynamic contraption cleaner,210
matte,mechanism,8/29/2013 4:11,1039,,matte mechanism,18.75
digital,contraption,3/30/2013 21:56,3577,,digital contraption,275
extra-strength,device,11/8/2013 11:41,2567,,extra-strength device,100
matte,device,12/11/2013 4:07,3427,charger,matte device charger,12.5
digital,tool,1/20/2014 17:27,2622,charger,digital tool charger,5.5
